entry_key,first_author,country_alpha3
,"Li, Changfeng",BVT
,"Wu, Jia Yan",BVT
,"Güldoğan Lekesi̇z, Esra",BVT
,"Grace, Said R.",BVT
,"Ponomarev, Dmitry",BVT
,"Jin, Yu",BVT
,"Zhang, Xuezhao",BVT
,"Liang, Siqi",BVT
,"Asnaz, Melike Sultan Karasu",BVT
,"Bauduin, Vittorio",BVT
,"Dar, Zaffar Mehdi",BVT
,"Mutar, Emad Kareem",BVT
,"He, Zhuo-Heng",BVT
,"Okayama, Tomoaki",BVT
,"Cao, Jiling",BVT
,"Luo, Yangfan",BVT
,"Bas, Umut",BVT
,"Zhang, Li-Ping",BVT
,"Mastroianni, Giuseppe",BVT
,"Taleshian, Amir Hossein",BVT
,"Ji, Ying",BVT
,"An, Jing",BVT
,"Mohammadi, Fatemeh",BVT
,"Yuan, Wanqiu",BVT
,"Zhao, Ruijuan",BVT
,"Fakhoury, Daniele",BVT
,"Wang, Jingjie",BVT
,"Wenzel, Tizian",BVT
,"Zhang, Shaonan",BVT
,"Das, Pankaj Kumar",BVT
,"Faleichik, Boris",BVT
,"Wang, Yilun",BVT
,"Emin, Berkay",BVT
,"Baranek, Marcin",BVT
,"Blanes, Sergio",BVT
,"Nwaigwe, Chinedu",BVT
,"Hu, Lijun",BVT
,"Wang, Shuang",BVT
,"Zhuang, Qiao",BVT
,"Nabil, Haneche",BVT
,"Kuş, Coşkun",BVT
,"Zhou, Dilong",BVT
,"Huang, Yunqing",BVT
,"Bai, Songhai",BVT
,"Hamdi, A.",BVT
,"Bellavia, Stefania",BVT
,"Wang, Hong",BVT
,"Chen, Meng",BVT
,"Shilnikov, K.E.",BVT
,"Yang, Fan",BVT
,"Ji, Bingbing",BVT
,"Lj. Djukić, D.",BVT
,"Rychlik, Tomasz",BVT
,"Edwards, Collin",BVT
,"Tzaninis, Spyridon M.",BVT
,"Ferreyra, D.E.",BVT
,"Li, Guan Ying",BVT
,"Cieslik, Violet V.",BVT
,"Zheng, Zejing",BVT
,"Hu, Dongdong",BVT
,"Nikolaeva, Nadezhda",BVT
,"Park, Minji",BVT
,"Zhang, Li",BVT
,"Chang, Gao",BVT
,,BVT
,"Hu, Dong",BVT
,"Gie, Gung-Min",BVT
,"Hobhaydar, Arman",BVT
,"Cui, Lubin",BVT
,"Huang, Shuyu",BVT
,"Anđić, Branko",BVT
,"Lin, Yu-Ren",BVT
,"Dong, Bo",BVT
,"Shahab, Carmella",BVT
,"He, Mingyan",BVT
,"Yao, Yujie",BVT
,"Song, Zihao",BVT
,"Chacón-López, Helena",BVT
,"Patra, Sathi",BVT
,"Cui, Ming",BVT
,"Uthayakumar, P.",BVT
,"Shiri, Babak",BVT
,"Huertas, Edmundo J.",BVT
,"Li, Min",BVT
,"Hu, Guang-Da",BVT
,"Bok, Jan",BVT
,"HO, Nguyen Thi Thao",BVT
,"Hamidi, Ali",BVT
,"Lu, Kebing",BVT
,"Chen, Weitao",BVT
,"Sokolov, Andriy",BVT
,"Liu, Shan",BVT
,"Li, Li",BVT
,"Zhang, Longyu",BVT
,"Wang, Tzu-Hua",BVT
,"Kremling, Gitte",BVT
,"Auricchio, Gennaro",BVT
,"Zhou, Lujun",BVT
,"Li, Ziyi",BVT
,"Elsawah, A.M.",BVT
,"Wang, Ting",BVT
,"Eticha, Merga Dinssa",BVT
,"Izuchukwu, Chinedu",BVT
,"Lu, Yu-Ming",BVT
,"Erickson, Brittany A.",BVT
,"Geng, Bingzhen",BVT
,"Li, Jianhua",BVT
,"Mao, Yongchun",BVT
,"Tena, Jesús",BVT
,"Ceballos, Haydeé",BVT
,"Ma, Yue",BVT
,"Chastain, Robert P.",BVT
,"Gou, Sibang",BVT
,"Gerberding, Seth",BVT
,"Ban A-pai, Fongchan",BVT
,"Zhou, Boyu",BVT
,"Shih, Jia-Han",BVT
,Sajidin,BVT
,"Sher, Muhammad",BVT
,"Tian, Zihang",BVT
,"Du, Tingsong",BVT
,"Liu, Qimeng",BVT
,"Glicksohn, Joseph",BVT
,"Ge, Yueyue",BVT
,"Fatima, Nahid",BVT
,"Durak, Hatice Yildiz",BVT
,"Dutta Mohapatra, Achyuta Ranjan",BVT
,"Zhang, Dong",BVT
,"Çi̇loğlu, Pelin",BVT
,"Calgan, Haris",BVT
,"Ahmad, Sohail",BVT
,"Hovardas, Tasos",BVT
,"Wang, Guodong",BVT
,"Fu, Kang",BVT
,"Güven Demir, Elif",BVT
,"Si, Suliang",BVT
,"Sawangtong, Panumart",BVT
,"Hao, Yong-Xia",BVT
,"Mika, Dariusz",BVT
,"Ou, Caixia",BVT
,"Silva, Ivair R.",BVT
,"Yang, Jielin",BVT
,"Barrera, Domingo",BVT
,"Chen, Qiliang",BVT
,"Zang, Shiyi",BVT
,"Cai, Yuyang",BVT
,"Crilly, Nathan",BVT
,"Jia, Zehui",BVT
,"Afzal Aghaei, Alireza",BVT
,"Li, Si",BVT
,"Li, Kongzhi",BVT
,"Liu, Haiyang",BVT
,"Dell’Accio, Francesco",BVT
,"Sousa, Ercília",BVT
,"Taniguchi, Yuko",BVT
,"Primor, Liron",BVT
,"Sun, Tie",BVT
,"Ahmad, Owais",BVT
,"Li, Zhen",BVT
,"Hersonsky, Sa’ar",BVT
,"Zhang, Guangtao",BVT
,"Bizzarri, Michal",BVT
,"Xie, Ayu",BVT
,"Bermúdez, Isaac",BVT
,"Beltran, Hector",BVT
,"Yuan, Han",BVT
,"Perdana, Arif",BVT
,"Weatherly, Katy leong Cheng Ho",BVT
,"Pan, Qianjun",BVT
,"Baltà-Salvador, Rosó",BVT
,"Hadley, Gregory R.L.",BVT
,"Cheng, Hui",BVT
,"Jiang, Xiao",BVT
,"Lee, Hwiyoung",BVT
,"Khazaleh, Mais",BVT
,"Ma, Li",BVT
,"Zhang, Wei",BVT
,"Yu, Yongchao",BVT
,"K.V., Viswakala",BVT
,"Hedayati, Fatemeh",BVT
,"Ibrayeva, Laura",BVT
,"Shen, Yanan",BVT
,"Larraz-Rábanos, Natalia",BVT
,"Liu, Ruisi",BVT
,"Wang, Dongxuan",BVT
,"Hong, Jon-Chao",BVT
,"Huang, Haoyan",BVT
,"Goecke, B.",BVT
,"Yurtbakan, Ergun",BVT
,"Taki Eldin, Ramy",BVT
,"Dai, Haishen",BVT
,"Gedik, Nuray",BVT
,"Caliari, Marco",BVT
,"Ghasemi, Rahmat",BVT
,"Chen, Jiaqi",BVT
,"Conlon, David",BVT
,"Shukla, Vinay",BVT
,"Thiel, Konstantin Emil",BVT
,"Halder, Sukanta",BVT
,"Antony, Arockia Deepa Uvari",BVT
,"Tang, Kok-Sing",BVT
,"Akusta, Ahmet",BVT
,"Xie, Dexuan",BVT
,"Bollati, Julieta",BVT
,"Wang, Zhen",BVT
,"Zhang, Yufeng",BVT
,"Wiśniewska, Ewa",BVT
,"Yusuf, Abdullahi",BVT
,"Jerbi, Houssem",BVT
,"Fermo, Luisa",BVT
,"He, Yunhui",BVT
,"Cavoretto, Roberto",BVT
,"Ling, Chen",BVT
,"Staberg, Ragnhild Lyngved",BVT
,"Zhang, Si",BVT
,"Nabil, Haneche",BVT
,"Krief, Jerome",BVT
,"Çakiroğlu, Ünal",BVT
,"Cappello, Lorenzo",BVT
,"Diabaté, Modibo",BVT
,"Wang, Yu",BVT
,"Yu, Yang",BVT
,"Ossandón, Sebastián",BVT
,"Aràndiga, Francesc",BVT
,"Haque, Md.Reduanul",BVT
,"Zhong, Linshan",BVT
,"Zhang, Li-fang",BVT
,"Muoi, Pham Quy",BVT
,"Hu, Guang-Da",BVT
,"Zhang, Hong",BVT
,"Korotkov, A.V.",BVT
,"Fu, Fengyu",BVT
,"Miller, Stephen",BVT
,"Duan, Lishu",BVT
,"Komori, Yoshio",BVT
,"Kang, Byeonguk",BVT
,,BVT
,"Moreno, Juan José",BVT
,"Sevimli-Celik, Serap",BVT
,"Chen, Huei-Ying",BVT
,"Dückers, Christina",BVT
,"Wu, Ting-Ting",BVT
,"Peperkorn, Colin",BVT
,"Demiray, Esra",BVT
